"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
4947657700,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,30,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24951"
4947657608,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.454566,48.275992,16413,1992,6,22,"US","Washington","Pend Oreille County","12 mi E of Chewelah","12 mi E of Chewelah, T32N R42E Sec 14, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8430"
4947657387,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.477514,48.596559,1807,1992,6,23,"US","Washington","Ferry County","SE side Sherman Peak","SE side Sherman Peak, T36N 34E S25, 6900 ft, Ferry Co, Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8362"
4947657315,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.907842,46.297498,49219,1992,7,9,"US","Washington","Columbia County","4.5 mi SW of Camp Wooten","4.5 mi SW of Camp Wooten, T8N R40E Sec 2, Columbia Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8493"
4947657220,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,4,2,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8583"
4947657182,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.198496,45.197825,789,1981,7,21,"US","Oregon","Wallowa County","0.6 mi ENE Jewett Lake","0.6 mi ENE Jewett Lake, 7850 ft., Wallowa Co., Oregon","CRCM","Collector(s): unknown; Preparator(s): G. W. Reed","http://arctos.database.museum/guid/CRCM:Mamm:8519"
4947657144,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.017657,46.416551,7433,1983,6,20,"US","Idaho","Nez Perce County","Mile 128, Highway 12 out of Lewiston","Mile 128, Highway 12 out of Lewiston, [Nez Perce Co.?] Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24359"
4947657032,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,10,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25005"
4947656997,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,2,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24962"
4947656991,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,28,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24930"
4947656978,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,26,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24908"
4947656896,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.482414,46.123945,1959,1977,6,18,"US","Washington","Grant County","2.2 mi W, 0.8 mi S of Wickiup Spring","2.2 mi W, 0.8 mi S Wickiup Spring, Garfield Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8507"
4947656819,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.130235,48.810201,1807,1992,6,16,"US","Washington","Pend Oreille County","Round Top Mountain","Roundtop Mt, T38N R45E Sec 8, 6400 ft, Pend Oreille Co, Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8429"
4947656694,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,7,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24994"
4947656619,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.585814,46.020281,3754,1983,3,22,"US","Washington","Walla Walla County","4 km S of Lowden","4 km S of Lowden, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24852"
